total_plays,card_set,game_date
"159,474",OG,25/05/2017
"587,924",EXPERT1,27/05/2017
"174,468",OG,27/05/2017
"269,969",GANGS,30/05/2017
"231,550",GANGS,3/06/2017
"53,468",FP2,6/06/2017
"114,617",OG,8/06/2017
"94,677",KARA,11/06/2017
"328,122",UNGORO,12/06/2017
"14,742",INVALID,15/06/2017
"271,731",UNGORO,15/06/2017
"36,263",HOF,17/06/2017
"99,500",GVG,17/06/2017
"34,504",HOF,21/06/2017
"63,458",TEMP1,21/06/2017
"13,793",INVALID,23/06/2017
"64,747",HERO_SKINS,26/06/2017
"125,992",OG,6/07/2017
"80,595",TEMP1,10/07/2017
"85,340",NAXX,14/07/2017
"893,663",CORE,17/07/2017
"344,635",UNGORO,18/07/2017
"80,694",NAXX,21/07/2017
"848,750",CORE,22/07/2017
"218,813",GANGS,26/07/2017
"368,210",EXPERT1,27/07/2017
"113,676",OG,27/07/2017
"90,321",KARA,28/07/2017
"23,645",INVALID,29/07/2017
"86,757",TEMP1,29/07/2017
"410,750",EXPERT1,3/08/2017
"76,814",TEMP1,4/08/2017
"1,064,785",CORE,9/08/2017
"1,222,571",CORE,13/08/2017
"1,121,099",CORE,15/08/2017
"69,464",TEMP1,15/08/2017
"320,553",ICECROWN,18/08/2017
"70,276",TEMP1,19/08/2017
"20,996",INVALID,25/08/2017
"236,236",UNGORO,25/08/2017
"99,206",HERO_SKINS,29/08/2017
"101,850",LOE,2/09/2017
"105,052",LOE,3/09/2017
"76,746",TEMP1,4/09/2017
"158,254",OG,8/09/2017
"396,425",ICECROWN,9/09/2017
"569,819",EXPERT1,12/09/2017
"99,498",GVG,13/09/2017
"61,185",TEMP1,13/09/2017
"84,705",LOE,13/09/2017
"75,967",HERO_SKINS,14/09/2017
"337,169",UNGORO,16/09/2017
"70,451",TEMP1,17/09/2017
"99,451",LOE,17/09/2017
"38,306",INVALID,18/09/2017
"54,175",FP2,22/09/2017
"363,455",UNGORO,23/09/2017
"346,575",ICECROWN,29/09/2017
"75,963",NAXX,5/10/2017
"41,908",HOF,7/10/2017
"1,058,884",CORE,8/10/2017
"80,397",TEMP1,8/10/2017
"706,728",CORE,11/10/2017
"29,839",HOF,17/10/2017
"87,960",GVG,17/10/2017
"55,813",TEMP1,17/10/2017
"225,387",GANGS,20/10/2017
"91,281",KARA,22/10/2017
"75,394",NAXX,23/10/2017
"352,793",EXPERT1,24/10/2017
"392,762",EXPERT1,27/10/2017
"869,976",CORE,29/10/2017
"88,016",KARA,29/10/2017
"30,726",HOF,30/10/2017
"87,897",GVG,30/10/2017
"67,942",LOE,30/10/2017
"100,953",OG,31/10/2017
"87,432",GVG,1/11/2017
"56,913",TEMP1,1/11/2017
"66,180",LOE,1/11/2017
"633,613",CORE,2/11/2017
"20,282",INVALID,2/11/2017
"218,175",UNGORO,2/11/2017
"27,108",INVALID,5/11/2017
"69,007",TEMP1,5/11/2017
"82,482",LOE,7/11/2017
"481,891",EXPERT1,14/11/2017
"128,952",OG,14/11/2017
"92,418",KARA,19/11/2017
"214,339",GANGS,24/11/2017
"92,143",HERO_SKINS,29/11/2017
"892,727",CORE,2/12/2017
"5,699",LOOTAPALOOZA,4/12/2017
"51,952",FP2,5/12/2017
"325,285",EXPERT1,7/12/2017
"187,652",UNGORO,12/12/2017
"166,693",UNGORO,14/12/2017
"50,703",NAXX,21/12/2017
"67,666",HERO_SKINS,22/12/2017
"26,692",INVALID,23/12/2017
"80,102",OG,25/12/2017
"195,314",LOOTAPALOOZA,25/12/2017
"243,821",ICECROWN,28/12/2017
"391,634",EXPERT1,29/12/2017
"56,401",LOE,2/01/2018
"68,682",KARA,2/01/2018
"42,108",TEMP1,12/01/2018
"49,008",LOE,12/01/2018
"811,387",CORE,13/01/2018
"32,827",INVALID,13/01/2018
"49,772",TEMP1,13/01/2018
"224,158",UNGORO,13/01/2018
"470,564",EXPERT1,20/01/2018
"104,392",OG,20/01/2018
"318,608",LOOTAPALOOZA,21/01/2018
"749,765",CORE,25/01/2018
"303,412",ICECROWN,31/01/2018
"100,600",OG,2/02/2018
"308,352",LOOTAPALOOZA,3/02/2018
"27,370",HOF,5/02/2018
"90,164",GVG,5/02/2018
"181,682",GANGS,8/02/2018
"29,947",HOF,12/02/2018
"92,682",GVG,12/02/2018
"266,671",ICECROWN,13/02/2018
"76,124",KARA,14/02/2018
"295,295",LOOTAPALOOZA,16/02/2018
"81,849",NAXX,20/02/2018
"87,782",LOE,3/03/2018
"210,441",GANGS,4/03/2018
"237,826",GANGS,5/03/2018
"111,134",NAXX,6/03/2018
"347,475",LOOTAPALOOZA,6/03/2018
"69,004",LOE,7/03/2018
"790,547",CORE,8/03/2018
"27,295",HOF,8/03/2018
"68,013",KARA,8/03/2018
"859,478",CORE,9/03/2018
"315,755",ICECROWN,11/03/2018
"40,745",INVALID,14/03/2018
"22,784",HOF,15/03/2018
"92,011",GVG,15/03/2018
"442,172",EXPERT1,18/03/2018
"310,724",LOOTAPALOOZA,18/03/2018
"138,729",GANGS,22/03/2018
"55,237",TEMP1,28/03/2018
"62,725",LOE,28/03/2018
"35,947",FP2,29/03/2018
"119,630",OG,2/04/2018
"100,366",NAXX,3/04/2018
"103,826",OG,4/04/2018
"27,244",HOF,6/04/2018
"84,911",HERO_SKINS,6/04/2018
"870,283",CORE,8/04/2018
"124,446",GVG,8/04/2018
"174,575",ICECROWN,12/04/2018
"532,988",CORE,19/04/2018
"14,990",HOF,19/04/2018
"66,528",GVG,19/04/2018
"44,811",KARA,19/04/2018
"66,494",NAXX,20/04/2018
"126,013",HERO_SKINS,21/04/2018
"647,041",CORE,24/04/2018
"10,660",HOF,28/04/2018
"51,696",GVG,28/04/2018
15,TB,23/11/2017
"519,706",EXPERT1,13/04/2017
"236,336",GANGS,16/04/2017
"81,821",HERO_SKINS,20/04/2017
"389,367",UNGORO,21/04/2017
"39,130",HOF,25/04/2017
"97,039",GVG,25/04/2017
"72,389",TEMP1,25/04/2017
"77,626",LOE,25/04/2017
"30,722",HOF,28/04/2017
"78,190",GVG,28/04/2017
"57,970",TEMP1,28/04/2017
"87,843",NAXX,2/05/2017
"25,872",INVALID,4/05/2017
"1,287,871",CORE,5/05/2017
"30,838",INVALID,5/05/2017
"504,195",UNGORO,6/05/2017
"97,336",NAXX,15/05/2017
"344,038",UNGORO,18/05/2017
"175,004",OG,20/05/2017
"164,515",OG,24/05/2017
"438,904",EXPERT1,2/06/2017
"390,259",EXPERT1,8/06/2017
"70,817",LOE,17/06/2017
"82,836",KARA,21/06/2017
"618,770",CORE,23/06/2017
"75,076",GVG,23/06/2017
"54,632",LOE,23/06/2017
"76,954",NAXX,24/06/2017
"80,733",NAXX,27/06/2017
"219,905",GANGS,27/06/2017
"434,483",EXPERT1,28/06/2017
"131,343",OG,28/06/2017
"54,217",HERO_SKINS,29/06/2017
"80,913",NAXX,1/07/2017
"186,912",GANGS,5/07/2017
"894,263",CORE,10/07/2017
"115,911",GVG,10/07/2017
"82,379",LOE,10/07/2017
"54,544",FP2,11/07/2017
"78,499",HERO_SKINS,11/07/2017
"43,448",FP2,13/07/2017
"516,556",EXPERT1,16/07/2017
"29,851",HOF,20/07/2017
"77,233",GVG,20/07/2017
"57,946",LOE,20/07/2017
"40,361",HOF,22/07/2017
"103,113",GVG,22/07/2017
"963,825",CORE,29/07/2017
"117,874",GVG,29/07/2017
"109,944",KARA,29/07/2017
