total_plays,card_set,game_date
"422,402",OG,12/04/2018
405,FP2,21/04/2018
327,FP2,24/04/2018
237,NAXX,26/04/2018
897,OG,26/04/2018
"3,523,703",LOOTAPALOOZA,26/04/2018
272,NAXX,29/04/2018
"3,885,219",LOOTAPALOOZA,29/04/2018
7,GVG,19/07/2017
18,GVG,23/12/2017
10,HOF,21/01/2018
10,FP2,9/03/2018
20,GVG,12/03/2018
1,NAXX,26/04/2017
3,NAXX,1/09/2017
8,TEMP1,20/10/2017
5,GVG,20/01/2018
8,NAXX,18/02/2018
28,TEMP1,5/03/2018
24,NAXX,12/11/2017
7,NAXX,19/12/2017
8,GVG,14/01/2018
7,LOE,14/01/2018
7,HOF,18/01/2018
8,GVG,21/01/2018
11,TEMP1,21/01/2018
7,FP2,9/02/2018
5,LOE,10/03/2018
2,GVG,18/10/2017
7,FP2,9/01/2018
9,LOE,7/09/2017
8,NAXX,15/09/2017
1,HOF,31/07/2017
3,NAXX,26/10/2017
4,HOF,14/01/2018
5,FP2,9/04/2017
1,NAXX,31/08/2017
5,FP2,25/04/2017
4,LOE,5/05/2017
3,HOF,24/01/2018
1,TEMP1,10/03/2018
2,NAXX,26/06/2017
2,TEMP1,16/07/2017
3,HOF,17/08/2017
1,TB,7/02/2018
1,TEMP1,19/07/2017
4,GVG,31/07/2017
5,LOE,17/08/2017
1,FP2,12/01/2018
2,GVG,2/07/2017
2,NAXX,16/11/2017
2,TEMP1,12/09/2017
1,FP2,2/12/2017
1,TEMP1,6/09/2017
1,NAXX,3/10/2017
1,HOF,3/01/2018
2,FP2,20/04/2017
"3,078,512",GANGS,2/04/2017
11,NAXX,8/04/2017
"3,301,292",GANGS,10/04/2017
"1,738,951",KARA,13/04/2017
"3,140,332",GANGS,23/04/2017
"1,445,934",KARA,24/04/2017
"5,536,905",EXPERT1,3/05/2017
"1,511,252",KARA,8/05/2017
"5,103,442",EXPERT1,13/05/2017
"1,575,904",OG,13/05/2017
"136,211",INVALID,19/05/2017
"1,521,202",OG,21/05/2017
"7,024,194",CORE,28/05/2017
"145,171",INVALID,31/05/2017
"4,259,107",UNGORO,2/06/2017
"140,611",INVALID,10/06/2017
"132,297",INVALID,20/06/2017
4,GVG,24/06/2017
"1,686,562",GANGS,26/06/2017
"3,486,044",UNGORO,28/06/2017
"910,630",OG,29/06/2017
"1,022,044",KARA,2/07/2017
"5,154,931",CORE,6/07/2017
"5,690,081",CORE,8/07/2017
"1,074,034",OG,13/07/2017
"397,666",HERO_SKINS,14/07/2017
"392,516",HERO_SKINS,23/07/2017
"122,511",INVALID,24/07/2017
"120,709",INVALID,25/07/2017
"412,686",HERO_SKINS,31/07/2017
"1,072,254",KARA,31/07/2017
"148,488",INVALID,5/08/2017
"2,613,143",OG,13/08/2017
"5,542,406",UNGORO,16/08/2017
"2,221,928",OG,19/08/2017
"337,488",INVALID,20/08/2017
