games_played_with_card_in_deck,rank_category,dbf_id,card_name
158,Rank10,90,Chillwind Yeti
6679,GrindTo10,39026,Undercity Huckster
76181,Rank5,272,Cabal Shadow Priest
4239,Legend,734,Mind Control Tech
18275,GrindTo5,39426,Arcane Giant
1989,Rank15,42327,Phantom Freebooter
17611,GrindTo10,41494,Awaken the Makers
10121,GrindTo15,41357,Raptor Hatchling
978,GrindTo15,39417,Fool's Bane
942,GrindToLegend,41305,Nesting Roc
2883,GrindTo15,38900,Cult Sorcerer
5885,Rank15,404,Ancestral Spirit
10343,GrindTo10,46445,Seeping Oozeling
3197,Rank15,46461,Void Ripper
728,GrindTo10,783,Pit Lord
337,Rank15,39495,Protect the King!
1116,Rank15,960,Stormforged Axe
1907,Rank15,42678,Brrrloc
2195,Rank15,36,Cenarius
4160,Rank15,38749,Divine Strength
2897,GrindTo15,38434,Forbidden Shaping
1680,GrindTo15,1370,Oasis Snapjaw
889,GrindTo10,38861,Blade of C'Thun
626,Rank5,239,Rockbiter Weapon
692,GrindTo15,39694,Spirit Claws
24165,GrindTo5,46067,Healing Rain
9220,GrindTo5,38547,Disciple of C'Thun
36304,Rank15,45265,Fungalmancer
60204,Rank10,45833,Crystal Lion
1599,Rank15,38957,Midnight Drake
176,GrindTo10,40339,Hidden Cache
562,Rank10,40935,Manic Soulcaster
40391,Rank10,1142,Demonfire
3784,GrindTo5,42565,Treachery
125,GrindTo10,39822,Deadly Fork
278204,GrindTo15,461,Sap
94958,GrindTo15,41690,Molten Reflection
43264,GrindTo5,39169,Babbling Book
187831,GrindTo15,41358,Crackling Razormaw
38159,GrindTo5,1080,Archmage Antonidas
72140,GrindTo15,997,Bloodsail Corsair
30854,Rank15,629,Lightning Storm
76599,GrindTo15,40409,Potion of Polymorph
302767,GrindTo15,41177,Curious Glimmerroot
453379,GrindTo5,614,Sorcerer's Apprentice
57925,Rank15,43193,Simulacrum
110202,Rank10,457,Blizzard
245172,Rank15,614,Sorcerer's Apprentice
127136,GrindTo10,42597,Eternal Servitude
273311,GrindTo15,41567,Dirty Rat
180297,Rank15,45340,Prince Keleseth
112432,GrindTo15,545,Mind Blast
51705,GrindTo10,42700,Blood Razor
37937,Rank15,40416,Kun the Forgotten King
63491,GrindTo10,742,Savage Roar
83280,GrindTo15,75,Brawl
76718,GrindTo10,237,Auchenai Soulpriest
142475,Rank15,306,Edwin VanCleef
9241,GrindTo15,38393,Journey Below
124827,Rank15,42801,Doomerang
54908,Rank15,9,Prophet Velen
51181,GrindToLegend,251,Loot Hoarder
90457,GrindTo5,896,Flare
63870,Rank10,932,Gadgetzan Auctioneer
56686,Rank15,573,Shiv
267043,GrindToLegend,40432,Kabal Talonpriest
63693,Legend,662,Frostbolt
315841,Rank15,43515,Corridor Creeper
21817,Rank15,38943,"Deathwing, Dragonlord"
35681,Rank10,279,Holy Smite
219919,Rank5,315,Fireball
64349,GrindTo5,573,Shiv
111388,GrindTo10,41683,Gluttonous Ooze
80061,Rank15,43284,Ironwood Golem
179324,GrindTo15,45828,Oaken Summons
91742,GrindTo10,40455,Jade Lightning
