player_class,card_name,dbfid,times_played,wins
PRIEST,Death and Decay,46194,28788,20174
PRIEST,Eater of Secrets,38792,28769,15343
HUNTER,Lesser Emerald Spellstone,43363,28727,11734
PRIEST,Priest of the Feast,39442,28592,12240
PRIEST,Lesser Diamond Spellstone,46307,28485,15830
DRUID,"Medivh, the Guardian",39841,28381,16602
DRUID,Dark Arakkoa,38882,28161,13713
WARRIOR,Bloodhoof Brave,38738,28072,11528
WARLOCK,Shadow Bolt,914,27952,11044
HUNTER,Call of the Wild,38727,27796,13485
HUNTER,Fiery Bat,38584,27724,11987
MAGE,Forbidden Flame,38413,27646,12110
PALADIN,Grimestreet Outfitter,40567,27584,12201
WARLOCK,Drain Soul,42658,27414,12091
MAGE,Servant of Kalimos,41410,27261,13216
DRUID,Snowflipper Penguin,42338,26986,12595
HUNTER,Timber Wolf,606,26971,10883
WARLOCK,Darkshire Librarian,38447,26918,12270
WARLOCK,Acherus Veteran,42773,26794,13273
MAGE,Ethereal Arcanist,1737,26653,13105
WARLOCK,Abyssal Enforcer,40541,26268,12845
SHAMAN,Bloodlust,1171,26203,17578
PRIEST,Mind Blast,545,26111,14606
PALADIN,Wickerflame Burnbristle,40636,25954,11917
MAGE,Fire Fly,41323,25769,11418
PRIEST,Anti-Magic Shell,45387,25538,19037
WARLOCK,Hungry Crab,443,25379,11719
WARLOCK,Cobalt Scalebane,42442,25314,12882
PALADIN,Corridor Creeper,43515,25268,11041
HUNTER,Vicious Fledgling,41247,25132,11320
PRIEST,Thoughtsteal,30,25124,9736
ROGUE,Southsea Captain,680,24991,11527
WARLOCK,Twilight Drake,1037,24835,12733
DRUID,Gadgetzan Auctioneer,932,24833,13066
PALADIN,Smuggler's Run,40371,24751,10719
WARLOCK,Eater of Secrets,38792,24620,12751
PRIEST,Frostmourne,43012,24523,17749
DRUID,Saronite Chain Gang,42395,24185,10823
PRIEST,Crazed Alchemist,801,24126,12544
WARRIOR,Bring It On!,43505,24032,12233
PALADIN,Cobalt Scalebane,42442,23966,11165
WARRIOR,Dirty Rat,41567,23943,10725
DRUID,Cursed Disciple,45594,23815,11674
PALADIN,Grimestreet Enforcer,40469,23728,11371
WARLOCK,Bonemare,42790,23719,11797
SHAMAN,Servant of Kalimos,41410,23687,10582
PALADIN,Chillblade Champion,43127,23584,10080
MAGE,Bittertide Hydra,41263,23546,13039
PALADIN,,,23469,15882
WARLOCK,Howlfiend,42642,23401,11389
WARRIOR,Fire Plume's Heart,41427,23331,9172
WARRIOR,Cornered Sentry,41406,23254,9701
WARRIOR,Iron Hide,41401,23228,10666
PRIEST,Obliterate,43120,23218,14957
HUNTER,Venomstrike Trap,42525,23195,11294
WARRIOR,Frothing Berserker,654,22963,9807
MAGE,Plated Beetle,45930,22875,11421
PALADIN,Saronite Chain Gang,42395,22721,9841
MAGE,Eater of Secrets,38792,22681,11482
PRIEST,Harrison Jones,912,22606,12474
PALADIN,Eye for an Eye,462,22305,10041
