"games_played_with_card_in_deck","rank_category","card_name"
2282,"GrindTo10","Void Terror"
455,"Rank5","Elven Archer"
2464,"GrindTo5","Blastcrystal Potion"
1392,"GrindToLegend","Big Game Hunter"
1295,"Rank10","Forbidden Shaping"
308,"Legend","Darkshire Alchemist"
1118,"Rank5","Blessing of Might"
3045,"Rank15","Leper Gnome"
504,"Rank10","Grimestreet Pawnbroker"
1070,"Legend","Cloaked Huntress"
807,"Rank5","Fire Plume Harbinger"
492,"GrindTo5","Hooded Acolyte"
139,"Legend","Manic Soulcaster"
456,"Rank15","Demolisher"
329,"Rank15","Mana Wraith"
174,"GrindTo5","Misdirection"
72821,"other","Bilefin Tidehunter"
229682,"other","Stonehill Defender"
63403,"GrindTo15","Grimestreet Outfitter"
100365,"Rank15","Leeroy Jenkins"
71995,"other","Counterspell"
327033,"GrindTo10","Glacial Shard"
79068,"other","Bluegill Warrior"
177999,"Rank15","The Curator"
385654,"Rank15","Power Word: Shield"
148722,"GrindToLegend","Priest of the Feast"
9883,"other","Shadowflame"
280494,"Rank15","Alleycat"
342617,"GrindTo5","Rockpool Hunter"
164292,"Rank15","Mirror Entity"
90188,"Legend","Mimic Pod"
101629,"GrindTo10","Faceless Shambler"
52098,"GrindTo15","Pantry Spider"
176099,"GrindTo10","Ragnaros, Lightlord"
59897,"other","Shimmering Tempest"
185489,"GrindToLegend","Hungry Crab"
210920,"GrindTo5","Elise the Trailblazer"
6592,"other","Humility"
78019,"Rank10","Razorpetal Lasher"
131821,"GrindTo10","Jinyu Waterspeaker"
311754,"Rank5","Mana Wyrm"
5799,"GrindTo15","King Mosh"
13320,"other","Kalimos, Primal Lord"
12457,"GrindTo15","Crazed Worshipper"
9932,"Legend","Eaglehorn Bow"
46068,"Rank5","Book Wyrm"
52628,"other","Water Elemental"
679,"Rank15","Deadly Fork"
29643,"Rank10","Forbidden Healing"
9765,"other","Arcane Explosion"
20740,"Rank10","Soulfire"
6928,"Rank15","Lightfused Stegodon"
27110,"Rank15","Darkshire Councilman"
2753,"Rank10","Forbidden Ritual"
23073,"GrindTo10","Journey Below"
3437,"Rank10","Volcanosaur"
1682,"Rank10","Unite the Murlocs"
983,"Rank10","Prophet Velen"
3724,"GrindTo10","Selfless Hero"
1132,"Legend","Cat Trick"
11618,"GrindToLegend","Binding Heal"
323,"Rank15","Illidan Stormrage"
510,"Rank10","Celestial Dreamer"
715,"GrindToLegend","Blastcrystal Potion"
175,"GrindToLegend","Hooded Acolyte"
1450,"GrindToLegend","Freezing Trap"
584,"Rank10","Ancient Brewmaster"
28714,"other","Grimestreet Outfitter"
91309,"GrindTo15","Voidwalker"
153192,"Rank15","Vanish"
112390,"Rank10","Gadgetzan Ferryman"
58479,"Rank15","Ysera"
74179,"Rank15","Druid of the Claw"
271545,"GrindTo5","Wild Growth"
24808,"other","Mind Vision"
12584,"GrindTo15","Stegodon"
23823,"Rank15","Greater Healing Potion"
10067,"other","Spellbender"
322495,"GrindToLegend","Devolve"
154420,"Rank5","Jade Behemoth"
