"player_class","card_name","times_played","wins"
"PALADIN","Sir Finley Mrrgglton",4293,1793
"WARLOCK","Bloodfury Potion",4271,2123
"DRUID","Mark of Nature",4250,2194
"WARRIOR","Ancient Shieldbearer",4243,2021
"PRIEST","Holy Fire",4238,2172
"ROGUE","Fadeleaf Toxin",4232,1930
"DRUID","Claw",4231,2009
"WARLOCK","Kabal Chemist",4219,2036
"PRIEST","Swipe",4216,2302
"MAGE","Harrison Jones",4211,2277
"SHAMAN","Hallazeal the Ascended",4191,2257
"PRIEST","Mind Vision",4142,1751
"DRUID","Healing Touch",4120,1696
"DRUID","Alexstrasza",4117,2763
"WARRIOR","Doomsayer",4112,1644
"PALADIN","Selfless Hero",4101,1613
"SHAMAN","Lotus Agents",4090,2129
"DRUID","Bite",4089,1925
"WARRIOR","Infested Tauren",4087,1946
"SHAMAN","Doomsayer",4073,1670
"DRUID","Ironbark Protector",4043,1741
"PALADIN","Ragnaros the Firelord",4013,2194
"PRIEST","Djinni of Zephyrs",4003,1728
"WARRIOR","Brann Bronzebeard",3922,1787
"PRIEST","Sunfury Protector",3906,1548
"PRIEST","Mind Control",3901,2226
"PALADIN","Lay on Hands",3877,2047
"SHAMAN","Armor Up!",3852,1485
"PALADIN","Rallying Blade",3845,1713
"MAGE","Yogg-Saron, Hope's End",3841,1498
"WARRIOR","Battle Rage",3784,1407
"PALADIN","Sylvanas Windrunner",3771,1888
"DRUID","Dragon Egg",3768,1705
"SHAMAN","Tuskarr Totemic",3768,1512
"WARLOCK","Youthful Brewmaster",3764,2022
