predator_class,predator_name,num_patches_killed
SHAMAN,Babbling Book,68
DRUID,C'Thun's Chosen,68
SHAMAN,N'Zoth's First Mate,68
PALADIN,Flame Juggler,68
WARLOCK,Harrison Jones,68
WARLOCK,Fist of Jaraxxus,68
SHAMAN,Dust Devil,68
DRUID,Savage Combatant,67
PALADIN,Grimestreet Smuggler,67
PRIEST,Demonwrath,67
DRUID,"Finja, the Flying Star",67
ROGUE,Frost Shock,67
HUNTER,On the Hunt,67
PRIEST,Abomination,67
PRIEST,Auchenai Soulpriest,66
PALADIN,Argent Protector,66
ROGUE,Buccaneer,66
ROGUE,Rumbling Elemental,66
WARRIOR,Infested Tauren,66
ROGUE,Earthen Ring Farseer,65
MAGE,Shadowflame,65
SHAMAN,Swashburglar,65
PRIEST,Sir Finley Mrrgglton,64
PALADIN,Fireblast,64
SHAMAN,Elven Archer,64
SHAMAN,Pit Snake,64
SHAMAN,Abusive Sergeant,64
SHAMAN,Disciple of C'Thun,64
WARLOCK,Flame Juggler,64
DRUID,Baron Geddon,64
WARLOCK,Crazed Worshipper,64
PALADIN,Defender of Argus,64
PALADIN,Selfless Hero,63
ROGUE,Whelp,63
ROGUE,Bloodmage Thalnos,63
SHAMAN,Corrupted Seer,63
MAGE,Harrison Jones,63
SHAMAN,Twilight Guardian,63
DRUID,Black Whelp,62
PALADIN,The Curator,62
SHAMAN,Blackwing Corruptor,62
PRIEST,Refreshment Vendor,62
ROGUE,Jade Golem,62
MAGE,Drain Life,61
SHAMAN,Timber Wolf,61
MAGE,Flame Lance,61
WARLOCK,Blizzard,61
PRIEST,Infested Tauren,61
PALADIN,Faerie Dragon,61
PALADIN,Nightbane Templar,60
PRIEST,"Shaku, the Collector",60
ROGUE,Ethereal Peddler,60
WARLOCK,Twilight Elder,60
WARRIOR,Slime,60
PRIEST,Felfire Potion,59
ROGUE,Loot Hoarder,59
WARLOCK,Dragonfire Potion,59
PRIEST,Sylvanas Windrunner,59
MAGE,Abomination,58
PRIEST,Mana Geode,58
WARLOCK,Azure Drake,58
DRUID,Excavated Evil,58
PALADIN,Azure Drake,58
ROGUE,The Curator,58
MAGE,Spellslinger,57
HUNTER,Spider,57
PALADIN,Deathwing,57
HUNTER,Acidic Swamp Ooze,56
DRUID,Kun the Forgotten King,56
PRIEST,Hungry Dragon,56
MAGE,Twilight Drake,56
WARLOCK,Holy Smite,56
ROGUE,Blade Flurry,56
DRUID,Lightning Storm,55
SHAMAN,Tournament Attendee,55
ROGUE,Deathwing,55
PRIEST,Emperor Thaurissan,55
DRUID,Stranglethorn Tiger,54
PRIEST,Bloodmage Thalnos,54
SHAMAN,"Finja, the Flying Star",54
SHAMAN,Angry Chicken,54
PALADIN,Slime,54
WARRIOR,Reckless Rocketeer,54
DRUID,Twin Emperor Vek'lor,53
PALADIN,Murloc Tidecaller,53
ROGUE,Leeroy Jenkins,53
SHAMAN,Murloc Razorgill,53
ROGUE,Second-Rate Bruiser,53
MAGE,Tundra Rhino,52
PALADIN,Stampeding Kodo,52
MAGE,Anomalus,52
PRIEST,Alexstrasza's Champion,52
PRIEST,Tentacle of N'Zoth,52
ROGUE,Bladed Cultist,52
PALADIN,Vilefin Inquisitor,52
MAGE,Beckoner of Evil,52
HUNTER,The Curator,51
DRUID,Defender of Argus,51
WARLOCK,Arcane Blast,51
PRIEST,Kabal Demon,51
DRUID,Backstab,51
MAGE,Ice Lance,51
ROGUE,Earth Elemental,50
DRUID,Harrison Jones,50
ROGUE,Infested Tauren,50
PRIEST,Barnes,50
WARLOCK,Excavated Evil,50
ROGUE,Undercity Valiant,50
PRIEST,Undercity Huckster,49
PRIEST,Swashburglar,49
PALADIN,Corrupted Seer,49
SHAMAN,Murloc Warleader,49
WARLOCK,Tiny Knight of Evil,49
MAGE,Spreading Madness,49
WARLOCK,Kabal Chemist,49
DRUID,Loot Hoarder,48
HUNTER,Carrion Grub,48
PALADIN,Squirming Tentacle,48
PRIEST,Totem Golem,48
MAGE,"Finja, the Flying Star",48
ROGUE,Jinyu Waterspeaker,48
WARRIOR,Blackwing Technician,48
SHAMAN,Hellfire,48
HUNTER,Azure Drake,47
DRUID,Elemental Destruction,47
PRIEST,Fel Orc Soulfiend,47
PRIEST,Garrison Commander,47
WARLOCK,Spirit Wolf,47
DRUID,Felfire Potion,46
SHAMAN,Young Dragonhawk,46
ROGUE,Totem Golem,46
DRUID,Shadowflame,46
WARLOCK,Frost Elemental,45
ROGUE,Lotus Agents,45
DRUID,Murloc Warleader,44
MAGE,Small-Time Buccaneer,44
DRUID,Mistress of Mixtures,44
ROGUE,Defias Ringleader,44
PRIEST,Kabal Chemist,44
SHAMAN,Blowgill Sniper,44
SHAMAN,Jade Golem,44
SHAMAN,The Storm Guardian,44
WARLOCK,Wrathguard,44
HUNTER,Injured Kvaldir,43
DRUID,Malygos,43
DRUID,Ysera Awakens,43
HUNTER,Desert Camel,43
DRUID,Klaxxi Amber-Weaver,43
DRUID,Blackwing Corruptor,43
DRUID,Sylvanas Windrunner,42
MAGE,Novice Engineer,42
MAGE,Kabal Lackey,42
ROGUE,Murloc Razorgill,42
PALADIN,Grimscale Chum,42
WARLOCK,Crystalweaver,42
HUNTER,Reno Jackson,41
DRUID,Jade Golem,41
PRIEST,Slime,41
ROGUE,Al'Akir the Windlord,41
DRUID,Starfire,40
PRIEST,Twilight Elder,40
ROGUE,Reno Jackson,40
PRIEST,The Curator,40
DRUID,Blizzard,40
PRIEST,Abyssal Enforcer,40
MAGE,Jaina Proudmoore,40
PRIEST,Jinyu Waterspeaker,39
PALADIN,Bilefin Tidehunter,39
ROGUE,Slime,39
PRIEST,Harvest Golem,39
WARLOCK,C'Thun's Chosen,39
DRUID,Master Jouster,39
DRUID,Lotus Agents,39
DRUID,Savagery,39
SHAMAN,Wicked Witchdoctor,38
ROGUE,Grimestreet Smuggler,38
PRIEST,Flamewreathed Faceless,38
HUNTER,Infested Tauren,38
WARRIOR,Netherspite Historian,38
WARRIOR,Wolfrider,38
HUNTER,Loot Hoarder,37
DRUID,Treant,37
WARRIOR,Brann Bronzebeard,37
DRUID,Twin Emperor Vek'nilash,37
WARRIOR,Golden Monkey,37
WARLOCK,Voodoo Doctor,37
SHAMAN,Unbound Elemental,37
ROGUE,Axe Flinger,37
MAGE,Sylvanas Windrunner,37
MAGE,Kabal Crystal Runner,37
PRIEST,Holy Fire,37
