player_class,card_name,times_played,wins,win_pc
DRUID,Master Jouster,1156,597,0.5164359862
WARRIOR,Nightmare,1155,810,70.13%
MAGE,Confessor Paletress,1153,672,0.5828274068
PRIEST,Lightwell,1153,412,0.3573287077
HUNTER,Multi-Shot,1153,361,0.3130962706
PALADIN,Ancient of Blossoms,1148,375,0.3266550523
MAGE,Holy Fire,1146,603,0.5261780105
PRIEST,Power Word: Glory,1146,453,0.3952879581
ROGUE,I Know a Guy,1145,564,0.4925764192
WARLOCK,Arcane Missiles,1145,617,0.5388646288
HUNTER,Ram Wrangler,1143,500,0.4374453193
DRUID,Patches the Pirate,1143,427,0.3735783027
MAGE,Museum Curator,1140,556,0.4877192982
MAGE,Blood Imp,1139,606,0.5320456541
SHAMAN,Windfury,1138,709,0.6230228471
WARLOCK,Totemic Call,1126,371,0.3294849023
ROGUE,Sir Finley Mrrgglton,1124,449,0.3994661922
WARRIOR,Excavated Evil,1123,267,23.78%
PRIEST,Dread Corsair,1122,838,0.7468805704
MAGE,Squire,1122,679,0.6051693405
WARRIOR,Commanding Shout,1122,400,35.65%
MAGE,Dread Infernal,1121,613,0.5468331847
WARRIOR,Grimestreet Smuggler,1119,360,32.17%
ROGUE,Drakonid Operative,1118,564,0.5044722719
ROGUE,"Yogg-Saron, Hope's End",1115,389,0.3488789238
PRIEST,Tomb Pillager,1114,633,0.5682226212
SHAMAN,Book Wyrm,1111,531,0.4779477948
WARRIOR,Twilight Drake,1110,502,45.23%
PRIEST,The Skeleton Knight,1110,585,0.527027027
PALADIN,Repentance,1109,502,0.4526600541
HUNTER,Hidden Cache,1106,350,0.3164556962
PALADIN,Harvest Golem,1105,493,0.4461538462
HUNTER,Murloc Warleader,1104,506,0.4583333333
PRIEST,Edwin VanCleef,1104,672,0.6086956522
ROGUE,Sharp Fork,1098,510,0.4644808743
PRIEST,Abomination,1097,418,0.3810391978
SHAMAN,Chillmaw,1096,560,0.5109489051
PALADIN,Totemic Call,1091,321,0.2942254812
PALADIN,Chillmaw,1091,459,0.4207149404
PRIEST,Sen'jin Shieldmasta,1089,471,0.4325068871
